precinct,polling_place,address,city
1,J.I. Stipe Center,801 North 9th,McAlester
3,First Baptist Church,100 East Washington,McAlester
4,Church of Christ,1700 S. Main,McAlester
5,American Legion,400 South 2nd,McAlester
6,Central Christian Church,920 Central Avenue,McAlester
7,Assembly of God Church,1800 Hardy Spring Road,McAlester
8,Dream City Church,124 V Hubert Smith Dr.,McAlester
11,Living Word Church,103 W. Taylor,McAlester
14,North Town Church of Christ Fellowship Hall,2400 N. Main,McAlester
19,Alderson Town Hall,125 Washington St.,Alderson
20,Barbara Barcheers Residence,2771 Crawley Road,McAlester
21,Lighthouse of Prayer Church,20 Double Springs Road,McAlester
26,Blocker Baptist Church,13319 E State Highway 31,McAlester
27,Number 9 Community Center,131 Bower Rd,Longtown
28,Canadian United Methodist Church,208 Creadle Dr.,Canadian
29,High Hill Baptist Church,33 Church Rd,McAlester
30,Crowder Senior Citizens Center,110 N. B Street,Crowder
32,Frink Community Center,454 Frink Rd,McAlester
33,Haileyville Civic Center,200 N. Craig Ave,Haileyville
34,Hartshorne Catholic Hall,912 E. Cherokee,Hartshorne
35,Taylor Gym - Hartshorne,413 S. 5th St.,Hartshorne
36,Blue Fire Dept.,162 Verner Rd.,McAlester
37,Shady Grove Church,106 Shady Grove Road,McAlester
38,Ti Valley Baptist Church,5608 Pine Top Rd,Pittsburg
39,Kiowa City Hall,813 S. Harrison,Kiowa
40,Assembly of God Church,1800 Hardy Springs Rd,McAlester
41,Krebs City Hall,5 NE Washington,Krebs
42,Church on Flowery Mound (Bug Tussle),2180 Flowery Mound Rd,McAlester
43,Pittsburg School Safe Room,305 2nd St.,Pittsburg
44,Quinton City Hall,1020 N Main,Quinton
46,New Hope Church,10735 State Highway 113,McAlester
47,Savanna City Hall,105 H Street,Savanna
48,Scipio Community Center,1520 N. 4 Corners Rd,McAlester
49,Tannehill Fire Department,10771 Tannehill Rd,McAlester
51,Richville Baptist Church,2268 Richville Rd.,McAlester
52,Quinton City Hall,1020 N Main,Quinton
54,Dream City Church,124 V Hubert Smith Dr.,McAlester
55,J.I. Stipe Center,801 N. 9th St.,McAlester
